 8062 xpcproxy	Modified       /private/var/tmp/cy-5zXU2T.dylib	
 8066 xpcproxy	Created        /private/var/tmp/cy-JKQbRr.dylib	
 8066 xpcproxy	Deleted        /private/var/tmp/cy-JKQbRr.dylib	
 8066 xpcproxy	Modified       /private/var/tmp/cy-JKQbRr.dylib	
 8066 xpcproxy	Created        /private/var/tmp/cy-Dilndl.dylib	
 8066 xpcproxy	Deleted        /private/var/tmp/cy-Dilndl.dylib	
 8066 xpcproxy	Modified       /private/var/tmp/cy-Dilndl.dylib	
 8070 xpcproxy	Created        /private/var/tmp/cy-QBMqqK.dylib	
 8070 xpcproxy	Deleted        /private/var/tmp/cy-QBMqqK.dylib	
 8070 xpcproxy	Modified       /private/var/tmp/cy-QBMqqK.dylib	
 8070 xpcproxy	Created        /private/var/tmp/cy-E5QyJ0.dylib	
 8070 xpcproxy	Deleted        /private/var/tmp/cy-E5QyJ0.dylib	
 8070 xpcproxy	Modified       /private/var/tmp/cy-E5QyJ0.dylib	
  370 routined	Created        /private/var/mobile/Library/Caches/com.apple.routined/cache_encryptedB.db-journal	
  370 routined	Modified       /private/var/mobile/Library/Caches/com.apple.routined/cache_encryptedB.db-journal	
  370 routined	Deleted        /private/var/mobile/Library/Caches/com.apple.routined/cache_encryptedB.db-journal	
  370 routined	Created        /private/var/mobile/Library/Caches/com.apple.routined/cache_encryptedB.db-journal	
  370 routined	Modified       /private/var/mobile/Library/Caches/com.apple.routined/cache_encryptedB.db-journal	
  370 routined	Deleted        /private/var/mobile/Library/Caches/com.apple.routined/cache_encryptedB.db-journal	
  370 routined	Created        /private/var/mobile/Library/Caches/com.apple.routined/cache_encryptedB.db-journal	
  370 routined	Modified       /private/var/mobile/Library/Caches/com.apple.routined/cache_encryptedB.db-journal	
  370 routined	Deleted        /private/var/mobile/Library/Caches/com.apple.routined/cache_encryptedB.db-journal	
 8074 xpcproxy	Created        /private/var/tmp/cy-HEil0L.dylib	
 8074 xpcproxy	Deleted        /private/var/tmp/cy-HEil0L.dylib	
 8074 xpcproxy	Modified       /private/var/tmp/cy-HEil0L.dylib	
 8074 xpcproxy	Created        /private/var/tmp/cy-BuVDPu.dylib	
 8074 xpcproxy	Deleted        /private/var/tmp/cy-BuVDPu.dylib	
 8074 xpcproxy	Modified       /private/var/tmp/cy-BuVDPu.dylib	
 7966 SpringBoard	Created        /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.Nheb8fQA	
 7966 SpringBoard	Deleted        /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/172013073450246116831226304367052767831	
 7966 SpringBoard	Chowned        /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.Nheb8fQA	
 7966 SpringBoard	Changed stat   /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.Nheb8fQA	
 7966 SpringBoard	Modified       /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.Nheb8fQA	
 7966 SpringBoard	Renamed        /private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/tmp.Nheb8fQA	/private/var/mobile/Library/Caches/com.apple.UIStatusBar/13F69/images/1720130734502461168311061321463333318232 
 8078 xpcproxy	Created        /private/var/tmp/cy-46TGum.dylib	
 8078 xpcproxy	Deleted        /private/var/tmp/cy-46TGum.dylib	
 8078 xpcproxy	Modified       /private/var/tmp/cy-46TGum.dylib	
 8078 xpcproxy	Created        /private/var/tmp/cy-sqD7Ux.dylib	
